Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/2/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"This complaint is an update with more documents to show the issues with XXXX XXXX XXXX. Since XX/XX/XXXX when I initiated a complaint against the three CRA 's ; XXXX quickly again changed the account info- but still incorrect. 

The CFPB should instruct the CRA 's to look into their more permanent files along with the more accessible day to day database they use. 

When they do a comparison of the accounts listed, the CRA 's should see that the 3 individual accounts were actually charged off in XXXX/XXXX of XXXX not XXXX. 

The 3 XXXX accounts listed as joint holder should be listed as charge off XX/XX/XXXX.",,"EQUIFAX, INC.",MA,01852,,Consent provided,Web,11/2/2017,Closed with explanation,No,,2719043
3/28/2017,Credit card,,Identity theft / Fraud / Embezzlement,,,,DISCOVER BANK,,,,,Postal mail,3/28/2017,Closed with explanation,Yes,No,2407111
5/30/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,This debt appears to be the result of either identity theft or fraud. Consumer has no knowledge of this debt and has attempted to get additional information from the debt collector about it. This matter has also been reported to XXXX.,,"OPTIMUM OUTCOMES, INC.",PA,183XX,,Consent provided,Web,5/30/2018,Closed with explanation,Yes,,2922232
7/24/2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,,,"NELNET, INC.",FL,33334,,Consent not provided,Web,7/26/2016,Closed with explanation,Yes,No,2027265
9/22/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",FL,32207,,Consent not provided,Web,9/22/2018,Closed with non-monetary relief,Yes,,3026380
9/29/2015,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,Company chooses not to provide a public response,U.S. BANCORP,IL,60614,,,Referral,9/29/2015,Closed with explanation,Yes,No,1585812
1/20/2015,Credit card,,Credit determination,,,,NAVY FEDERAL CREDIT UNION,FL,33177,,,Web,1/30/2015,Closed with non-monetary relief,Yes,No,1200438
8/6/2012,Bank account or service,Checking account,Using a debit or ATM card,,,,FIFTH THIRD FINANCIAL CORPORATION,FL,32792,,,Referral,8/15/2012,Closed with monetary relief,Yes,No,130167
3/25/2015,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,NCB MANAGEMENT SERVICES INC,NJ,088XX,,Consent not provided,Web,3/25/2015,Closed with explanation,Yes,No,1300659
10/19/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,HSBC NORTH AMERICA HOLDINGS INC.,CA,94806,,Consent not provided,Web,10/19/2016,Closed with explanation,Yes,No,2165317
4/25/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,342XX,,,Referral,4/30/2014,Closed with explanation,Yes,No,825703
3/28/2018,Credit card or prepaid card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92647,,,Referral,3/29/2018,Closed with explanation,Yes,,2858847
4/24/2019,Debt collection,I do not know,Communication tactics,"You told them to stop contacting you, but they keep trying",,,WLCC,OK,,,,Web,4/24/2019,Closed with explanation,Yes,,3221830
4/3/2018,Credit card or prepaid card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,,,JPMORGAN CHASE & CO.,CA,90405,,Consent not provided,Web,4/3/2018,Closed with non-monetary relief,Yes,,2863401
12/11/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,333XX,,,Web,12/15/2014,Closed with explanation,Yes,No,1153416
2/13/2015,Credit card,,Closing/Cancelling account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,010XX,,,Web,2/20/2015,Closed with explanation,Yes,No,1240461
8/28/2018,Debt collection,Auto debt,Attempts to collect debt not owed,Debt is not yours,In response to CFPB compliant # XXXX I requested for TRANSWORLD SYSTEM INC in my last compliant to stop all collection attempts and they ignored that request.,,TRANSWORLD SYSTEMS INC,GA,300XX,,Consent provided,Web,8/28/2018,Closed with explanation,Yes,,3004423
8/25/2017,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"A collection agency, Calvary Portfolio Service, fraudulently re-aged a past due debt, making it look like the account became delinquent later than it did. The account has actually been past due in excess of seven years and is also required to be removed from my credit report by law. I have filed disputes with the respective credit repositories -- but the continue to be listed as negative / outstanding item on my credit report due to the collection agency fraudulently re-aging the debt.",,"CAVALRY INVESTMENTS, LLC",NC,282XX,,Consent provided,Web,8/25/2017,Closed with explanation,Yes,,2651046
6/28/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",LA,70802,,Consent not provided,Web,6/29/2016,Closed with explanation,Yes,No,1988389
2/8/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't temporarily postpone payments,,,"Navient Solutions, LLC.",SC,29063,,Consent not provided,Web,2/8/2017,Closed with explanation,Yes,No,2335214
3/31/2019,Checking or savings account,Savings account,Problem with a lender or other company charging your account,Transaction was not authorized,,,JPMORGAN CHASE & CO.,IL,600XX,Servicemember,,Web,3/31/2019,Closed with explanation,Yes,,3197195
5/19/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,We had an insurance check for work to be done in our bedroom that was made out to us and our mortgage company Fay servicing. We received the XXXX disbursement and were told when we were XXXX done with the work that they would send an inspector out. After the inspector came out the next XXXX would be disbursed. We called 8 days ok and no one has called us to set up the XXXX inspection. After calling Fay servicing over XXXX times and email contact we have no resolution on when they will conduct the inspection. We have had our entire bedroom crammed into our living room for over three months. The lack of response from Fay servicing and timely assistance has been unprofessional.,,"Fay Servicing, LLC",CT,060XX,,Consent provided,Web,5/19/2015,Closed with explanation,Yes,No,1382553
1/19/2015,Payday loan,,Can't stop charges to bank account,,,,Guidiville Indian Rancheria,IL,60202,,,Web,1/19/2015,Closed with explanation,Yes,No,1198848
2/1/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,75071,,Consent not provided,Web,2/1/2018,Closed with explanation,Yes,,2799858
8/7/2018,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,,,"Navient Solutions, LLC.",MO,63090,,Consent not provided,Web,8/7/2018,Closed with explanation,Yes,,2984258
2/16/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,113XX,,Consent not provided,Web,2/16/2018,Closed with explanation,Yes,,2817022
5/1/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,NY,11220,,,Referral,5/2/2013,Closed with explanation,Yes,No,396939
11/19/2015,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,"XXXX violated FDCPA XXXX by filing in the wrong jurisdiction which was XXXX XXXX, GA case on XXXX XXXX, XXXX and dismissed on XXXX XXXX, XXXX while the case was being held in XXXX XXXX GA as of XXXX XXXX, XXXX under. case. It was time barred from giving the chain of custody given to validate party in interest under case in XXXX XXXX, XXXX. FDCPA XXXX -K the frequency and irresponsibility of follow Federal debt collection guidelines in XXXX different incidents when it had opportunity to product the documents to validate it as party in interest it failed to do so from XXXX XXXX XXXX, XXXX showing persistence and determination to continue violations of FDCPA XXXX. The unfair debt collection practices violating FDCPA XXXX to "" ambushed '' and surprised the Defendant with a redacted bill of sale and affidavit of the debt 2 years after it was requested since the original filing case # by was unconscionable since they failed to produce copies on XXXX XXXX, XXXX the bill of sale and affidavit from Wells Fargo to Defendant.",Company chooses not to provide a public response,WELLS FARGO & COMPANY,GA,303XX,"Older American, Servicemember",Consent provided,Web,11/24/2015,Closed with explanation,Yes,No,1663986
5/30/2014,Consumer Loan,Installment loan,Taking out the loan or lease,,,,SYNCHRONY FINANCIAL,FL,327XX,Servicemember,,Phone,6/4/2014,Closed with explanation,Yes,Yes,875266
8/8/2014,Credit card,,Other,,,,JPMORGAN CHASE & CO.,OH,434XX,,,Web,8/27/2014,Closed with explanation,Yes,Yes,976043
4/2/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"In XXXX I was a XXXX customer. I decided in XXXX to go with XXXX and ended the services with XXXX. I called XXXX and requested boxes to send their converter boxes to them. The boxes were delivered to me and I packed the converter boxes to be shipped back to XXXX. The representative that I spoke with in late XXXX stated that the boxes would be picked up after I packed them by XXXX. After speaking with her I realized that I had another question for the representative and called back. The next representative stated to me that the boxes were outdated and I could throw them away. I stated to her that I would not throw them away but send them back to XXXX. The representative stated that even if I sent the boxes back to XXXX, I would not be given credit because the boxes were outdated and I needed to just pay for them. I stated to the representative that I would send the boxes back and they could do whatever they needed to do with the boxes. 

It showed upon my credit report that I owed XXXX {$680.00}, I disputed this back in XXXX and it was removed from my credit report in XXXX. Now it is back on my credit report but with a different collection agency. I do not owe this debt, XXXX is trying to make me pay for their outdated boxes",,ERC,LA,700XX,,Consent provided,Web,4/2/2015,Closed with non-monetary relief,Yes,No,1312260
1/29/2018,Credit card or prepaid card,General-purpose credit card or charge card,Closing your account,Company closed your account,I noticed my credit card was not working so i called chase and they said the account has been closed but they could not tell me why. I tried calling a few times but got nowhere. I just received a letter saying they are closing both credit cards with them as well as my checking and savings account,,JPMORGAN CHASE & CO.,NY,112XX,,Consent provided,Web,1/29/2018,Closed with explanation,Yes,,2797486
8/1/2013,Credit card,,Advertising and marketing,,,,JPMORGAN CHASE & CO.,TX,75002,Older American,,Web,8/1/2013,Closed with explanation,Yes,No,472254
9/25/2018,Checking or savings account,Other banking product or service,Managing an account,Banking errors,,,JPMORGAN CHASE & CO.,LA,70501,,,Referral,9/25/2018,Closed with explanation,Yes,,3029073
3/14/2016,Credit card,,Billing disputes,,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,CA,91910,,Consent not provided,Web,3/14/2016,Closed with non-monetary relief,Yes,No,1831093
2/7/2012,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,PHH Mortgage Services Corporation,CA,90802,,,Web,4/13/2012,Closed without relief,Yes,No,20676
